employeeid,age,attrition,businesstravel,department,distancefromhome,education,educationfield,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,environmentsatisfaction,jobsatisfaction,worklifebalance,jobinvolvement,performancerating,mean_time
49,32,No,Travel_Rarely,Sales,2,3,Marketing,Male,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,6.358520749665278
50,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,6.3239547077197225
51,58,No,Non-Travel,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,10.589165551093055
52,31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,Female,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,8.685874609549167
53,31,No,Travel_Rarely,Sales,7,4,Marketing,Male,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,6.557103971441111
54,45,No,Travel_Frequently,Research & Development,3,1,Medical,Female,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,6.934087460954722
55,31,No,Travel_Rarely,Sales,16,4,Marketing,Female,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,8.43789045069139
56,33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,Male,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,6.457864792503333
57,39,No,Travel_Rarely,Sales,1,4,Life Sciences,Male,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,10.80961624274861
58,43,No,Travel_Frequently,Research & Development,7,4,Medical,Male,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,7.007448683623333
59,49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,9.709125390450556
60,52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,7.5880365908075
61,27,No,Travel_Rarely,Research & Development,15,4,Medical,Male,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,10.45810910307889
62,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,10.074638554216667
63,27,No,Travel_Rarely,Research & Development,13,2,Medical,Female,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,9.341363230700555
64,31,No,Travel_Rarely,Sales,24,3,Life Sciences,Male,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,6.447809013833056
65,32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,Male,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,7.136569611780278
66,28,Yes,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,10.641073181615278
67,30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,Female,4,Research Director,Married,41970,1.0,13,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,5.762560240963611
68,31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,Female,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,6.025345827755277
69,39,No,Travel_Frequently,Research & Development,19,4,Medical,Female,1,Research Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,5.5637918340025
70,39,Yes,Travel_Rarely,Research & Development,1,1,Medical,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,9.851604194555833
71,33,No,Travel_Frequently,Sales,4,2,Life Sciences,Male,4,Research Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,7.2128168228466665
72,47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,2,Healthcare Representative,Married,59060,4.0,23,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,6.337332663989167
73,43,No,Travel_Frequently,Research & Development,14,3,Medical,Female,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,5.945283355644722
74,27,No,Non-Travel,Research & Development,2,3,Life Sciences,Male,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,8.643457161981111
75,54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,Male,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,5.681542838018611
76,43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,6.898489513609722
77,45,No,Travel_Rarely,Sales,3,1,Marketing,Female,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,6.900469656403334
78,40,No,Travel_Rarely,Research & Development,2,4,Other,Male,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,9.197425256581667
79,29,Yes,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,9.67827867023639
80,29,No,Travel_Rarely,Human Resources,8,3,Medical,Male,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,6.6295515394911115
81,30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,7.070961624274722
82,27,No,Travel_Rarely,Research & Development,11,2,Medical,Male,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,5.957641677822222
83,37,No,Travel_Rarely,Sales,1,4,Life Sciences,Male,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,5.687801204819166
84,38,No,Travel_Rarely,Research & Development,28,4,Medical,Male,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,8.730585676037222
85,31,No,Travel_Rarely,Research & Development,6,3,Medical,Female,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,3.0,4.0,3.0,3,3,9.965590138330834
86,29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,3,Sales Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,8.219101963409166
87,35,No,Travel_Rarely,Sales,16,2,Technical Degree,Male,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,7.4036345381525
88,23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,Male,1,Manufacturing Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,6.762868139223333
89,41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,1,Laboratory Technician,Single,54870,6.0,19,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,9.29953145917
90,47,No,Travel_Frequently,Sales,1,3,Medical,Female,2,Laboratory Technician,Single,68340,3.0,16,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,7.458285363676667
91,42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,5.981423471664167
92,29,No,Non-Travel,Sales,22,4,Marketing,Male,2,Human Resources,Married,57360,1.0,22,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,5.900896921017222
93,42,No,Travel_Rarely,Sales,7,4,Medical,Male,3,Research Scientist,Divorced,22260,0.0,12,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,8.08675256581861
94,32,No,Travel_Rarely,Research & Development,2,3,Medical,Male,2,Research Scientist,Married,57470,1.0,13,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,7.164133199464445
95,48,No,Travel_Rarely,Sales,13,4,Medical,Male,4,Sales Executive,Married,98540,3.0,16,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,6.847280232039167
96,37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,Male,2,Manufacturing Director,Divorced,54670,4.0,12,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,10.711529451137778
97,30,No,Non-Travel,Sales,25,4,Other,Male,1,Healthcare Representative,Married,53800,7.0,21,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,10.234273761713334
98,26,No,Travel_Rarely,Sales,28,3,Medical,Female,5,Laboratory Technician,Married,51510,1.0,15,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,5.849885095939166
99,42,No,Travel_Rarely,Sales,2,2,Medical,Female,1,Laboratory Technician,Single,21330,3.0,13,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,5.867603748326389
100,21,Yes,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,7.970253235162778
101,36,No,Non-Travel,Human Resources,28,3,Human Resources,Male,2,Laboratory Technician,Single,24320,4.0,22,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,6.807350513163611
102,36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,2,Research Scientist,Married,47710,4.0,13,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,6.791153502900277
103,57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,Male,5,Research Scientist,Married,191610,2.0,18,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3,5.971953369031667
104,40,No,Travel_Rarely,Research & Development,8,3,Other,Male,2,Sales Executive,Married,50870,3.0,14,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3,7.606198125836666
105,21,No,Non-Travel,Research & Development,1,5,Life Sciences,Female,2,Manager,Single,28630,1.0,14,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3,7.344952030343333
106,33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4,9.749403168228334
107,37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,4,Research Scientist,Married,21440,6.0,19,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3,7.4154562695225
108,46,No,Non-Travel,Sales,2,4,Marketing,Female,2,Laboratory Technician,Married,30650,2.0,11,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3,5.588887773315278
109,41,Yes,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3,7.100332440874444
110,50,No,Travel_Rarely,Research & Development,9,3,Medical,Female,3,Laboratory Technician,Single,98880,6.0,15,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3,6.3645537706380555
111,40,Yes,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4,8.735999553770556
112,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,4,Human Resources,Single,28670,0.0,24,0,3.0,5,2,2,2,3.0,2.0,3.0,3,4,10.675884649709722
113,21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3,5.537753235162778
114,29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,2,Research Director,Single,66670,9.0,12,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3,7.663491744756667
115,35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Sales Executive,Single,50030,9.0,15,0,10.0,2,1,0,0,3.0,2.0,3.0,3,3,7.314774654172222
116,27,No,Travel_Rarely,Sales,2,3,Life Sciences,Male,1,Sales Executive,Divorced,23670,0.0,12,1,5.0,2,5,0,4,4.0,2.0,3.0,3,3,5.816591923248334
117,28,No,Travel_Rarely,Research & Development,2,2,Medical,Male,3,Manager,Single,28580,1.0,12,0,7.0,2,7,0,7,2.0,4.0,3.0,2,3,6.634467871485834
118,49,No,Travel_Rarely,Sales,2,3,Technical Degree,Male,2,Manufacturing Director,Single,52040,8.0,14,1,26.0,3,5,0,0,2.0,3.0,3.0,3,3,7.542354975457222
119,51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,41050,4.0,22,1,18.0,2,7,0,7,3.0,4.0,2.0,3,4,6.9768016510486115
120,36,No,Travel_Rarely,Sales,15,2,Life Sciences,Male,1,Sales Executive,Married,96790,4.0,12,0,6.0,1,2,2,2,4.0,3.0,3.0,3,3,5.6408690316822225
121,34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,Male,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,4,1.0,4.0,2.0,3,4,8.600741856313888
122,55,No,Travel_Rarely,Sales,26,3,Marketing,Male,1,Laboratory Technician,Single,104480,2.0,13,0,30.0,3,5,1,2,3.0,4.0,3.0,3,3,8.230750780901111
123,24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,5,Manager,Divorced,28970,1.0,18,3,5.0,4,5,0,3,4.0,3.0,4.0,3,3,9.230603525211944
124,30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,Female,2,Manager,Married,59680,1.0,13,0,1.0,3,1,0,0,3.0,2.0,3.0,3,3,6.401705711735556
125,26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,Male,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,4,3.0,4.0,3.0,3,3,6.7463688085675
126,22,No,Travel_Rarely,Research & Development,16,5,Other,Male,1,Research Scientist,Married,29910,1.0,19,2,2.0,3,2,1,2,1.0,2.0,3.0,2,3,5.831803882195278
127,36,No,Travel_Rarely,Research & Development,1,3,Medical,Female,5,Healthcare Representative,Married,196360,1.0,12,1,10.0,3,10,9,0,2.0,3.0,3.0,3,3,6.0337817938419445
128,30,Yes,Travel_Frequently,Sales,3,2,Marketing,Male,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,0,3.0,4.0,3.0,2,3,7.89557675145
129,37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,Male,1,Sales Executive,Divorced,133410,1.0,14,1,18.0,3,18,12,17,4.0,1.0,2.0,3,3,6.218881079875
130,40,No,Travel_Rarely,Research & Development,6,2,Medical,Male,3,Research Scientist,Divorced,43320,7.0,14,2,8.0,3,5,1,3,4.0,2.0,3.0,2,3,6.173039937527777
131,42,No,Travel_Rarely,Research & Development,2,3,Medical,Female,4,Manager,Divorced,110310,3.0,12,1,8.0,2,5,1,2,2.0,1.0,3.0,2,3,7.0619366354305555
132,37,No,Travel_Rarely,Sales,9,1,Marketing,Male,3,Sales Executive,Single,44400,2.0,11,1,18.0,3,1,0,1,3.0,2.0,2.0,2,3,9.760771976795834
133,43,No,Travel_Rarely,Sales,10,2,Life Sciences,Female,1,Sales Executive,Divorced,46170,1.0,11,0,25.0,2,25,3,9,1.0,2.0,3.0,3,3,6.998694779116389
134,40,No,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Laboratory Technician,Married,26470,6.0,13,0,20.0,2,1,0,0,2.0,3.0,3.0,2,3,7.164219098616667
135,54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,Female,2,Manufacturing Director,Married,63230,4.0,23,1,24.0,2,4,1,2,1.0,1.0,2.0,2,4,5.468940205265278
136,34,No,Non-Travel,Research & Development,28,3,Medical,Male,1,Laboratory Technician,Married,56770,9.0,20,1,6.0,3,3,1,2,3.0,3.0,3.0,3,4,6.446319723337778
137,31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,3,Sales Executive,Married,21870,1.0,15,1,13.0,2,13,3,12,2.0,1.0,1.0,2,3,5.713265283355556
138,43,No,Travel_Frequently,Sales,14,3,Life Sciences,Female,1,Manufacturing Director,Married,37480,7.0,14,2,10.0,3,3,1,2,4.0,4.0,3.0,2,3,6.996710174029444
139,43,No,Travel_Rarely,Sales,27,4,Life Sciences,Male,2,Sales Representative,Divorced,39770,4.0,18,1,8.0,3,5,0,2,3.0,3.0,3.0,3,3,8.486725792056944
140,25,No,Travel_Rarely,Human Resources,7,2,Human Resources,Male,1,Manufacturing Director,Single,86330,1.0,19,1,5.0,2,5,1,3,2.0,4.0,3.0,4,3,10.151952253458056
141,37,No,Non-Travel,Research & Development,1,3,Medical,Male,3,Laboratory Technician,Married,20080,3.0,22,0,15.0,5,13,10,7,2.0,3.0,3.0,2,4,10.004965417224444
142,31,No,Travel_Rarely,Research & Development,24,1,Medical,Male,3,Laboratory Technician,Married,44400,1.0,13,1,4.0,2,4,3,2,4.0,1.0,3.0,3,3,6.578286479250278
143,39,No,Travel_Frequently,Research & Development,26,4,Technical Degree,Female,1,Sales Executive,Divorced,30670,1.0,20,1,21.0,5,21,1,6,2.0,3.0,3.0,1,4,8.864453369031667
144,56,No,Travel_Frequently,Research & Development,20,4,Life Sciences,Female,3,Sales Executive,Married,53210,9.0,14,0,36.0,1,7,7,7,3.0,1.0,2.0,3,3,7.122437527889167
145,30,No,Travel_Rarely,Sales,5,4,Medical,Female,2,Manufacturing Director,Single,54100,0.0,17,1,6.0,2,5,4,4,2.0,3.0,3.0,3,3,7.464110887996389
146,41,No,Travel_Rarely,Research & Development,7,3,Technical Degree,Female,3,Research Scientist,Married,27820,1.0,14,0,10.0,2,10,0,7,2.0,1.0,3.0,2,3,6.411313029897222
147,28,No,Travel_Rarely,Research & Development,7,3,Medical,Male,3,Healthcare Representative,Divorced,119570,1.0,13,0,10.0,2,10,1,8,3.0,1.0,3.0,2,3,5.869447791164444
